epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8441,2.11967,3.55864,2.37924,0.09555,0.53719,0.0994,0.04259,2.06856,2.94577,2.34166,0.0700679,0.00332579,0.00332579
2,164.604,1.82737,2.48918,2.03362,0.36575,0.39507,0.31624,0.14928,2.25033,3.82374,2.58529,0.0394086,0.00599987,0.00599987
3,246.756,1.73434,1.84288,1.92692,0.51512,0.55264,0.4632,0.22236,1.91378,1.86675,2.11866,0.00808937,0.00801395,0.00801395
4,329.052,1.68544,1.54497,1.82793,0.56014,0.55924,0.59771,0.31042,1.95124,1.99463,2.15303,0.00703,0.00703,0.00703
5,411.256,1.64173,1.31738,1.77994,0.58947,0.69229,0.71686,0.38172,1.75544,1.37448,1.9011,0.00604,0.00604,0.00604
6,494.282,1.60228,1.16753,1.75481,0.77525,0.65562,0.77772,0.40596,1.77409,1.1491,1.93789,0.00505,0.00505,0.00505
7,576.768,1.54233,1.04798,1.70384,0.70526,0.70487,0.76745,0.4095,1.77788,1.13937,1.91919,0.00406,0.00406,0.00406
8,659.177,1.50465,0.94937,1.6903,0.62707,0.8014,0.75222,0.39924,1.83074,1.07069,1.96284,0.00307,0.00307,0.00307
9,741.535,1.44487,0.84399,1.60964,0.6944,0.6315,0.78617,0.42125,1.76643,1.10947,1.91547,0.00208,0.00208,0.00208
10,825.35,1.41731,0.79954,1.59272,0.6223,0.77965,0.79274,0.4044,1.77417,1.05352,1.92181,0.00109,0.00109,0.00109
