epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.0943,1.83287,2.91911,1.85149,0.40233,0.57721,0.56863,0.2427,2.04842,1.85621,2.01329,0.00030027,0.00030027,0.00030027
2,166.347,1.62618,1.3672,1.63236,0.61097,0.5425,0.67152,0.35354,1.91179,1.49788,1.99859,0.000543547,0.000543547,0.000543547
3,248.353,1.59637,1.23727,1.60943,0.56331,0.79924,0.71756,0.36564,2.02461,1.26452,2.01415,0.000726829,0.000726829,0.000726829
4,330.244,1.57344,1.11827,1.56769,0.54413,0.66024,0.5726,0.27568,1.87657,1.41642,1.90909,0.000639027,0.000639027,0.000639027
5,412.146,1.51998,1.00343,1.5304,0.53079,0.68536,0.65098,0.30261,1.80447,1.32795,1.8022,0.000549036,0.000549036,0.000549036
6,493.985,1.46653,0.89545,1.48759,0.72974,0.76828,0.76668,0.4134,1.78914,1.07272,1.83988,0.000459045,0.000459045,0.000459045
7,575.705,1.41342,0.81725,1.45752,0.72387,0.59533,0.74227,0.42566,1.75572,1.27926,1.79374,0.000369054,0.000369054,0.000369054
8,657.562,1.335,0.72703,1.41578,0.60966,0.80295,0.77444,0.42062,1.74653,1.04392,1.82333,0.000279063,0.000279063,0.000279063
9,739.384,1.29848,0.67421,1.38516,0.62924,0.78354,0.77511,0.43771,1.71065,0.96348,1.77842,0.000189072,0.000189072,0.000189072
10,821.156,1.2599,0.62161,1.3589,0.70369,0.73219,0.80221,0.43532,1.75043,0.963,1.77149,9.9081e-05,9.9081e-05,9.9081e-05
